,Title,Location,Start_Date,End_Date,Filter,URL
277,Softball UofSC vs. Alabama,"Tuscaloosa, Ala.",2023-04-6 19:00:00,2023-04-6 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
278,Baseball UofSC vs. LSU,"Columbia, S.C.",2023-04-6 19:00:00,2023-04-6 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
279,Softball UofSC vs. Alabama,"Tuscaloosa, Ala.",2023-04-7 19:00:00,2023-04-7 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
280,Men's Golf UofSC vs. Augusta Haskins Award Inv. R3,"Forest Hills Golf Club - Augusta, Ga.",2023-04-2 9:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
281,Women's Volleyball UofSC vs. Clemson,,2023-04-2 00:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
282,Women's Tennis UofSC vs. Missouri,"Columbia, SC",2023-04-2 11:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
283,Softball UofSC vs. Florida,"Columbia, S.C.",2023-04-2 13:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
284,Women's Golf UofSC vs. TBD,"Lonnie Poole Golf Course - Raleigh, N.C. ",2023-04-3 9:00:00,2023-04-3 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
285,Women's Golf UofSC vs. TBD,"Lonnie Poole Golf Course - Raleigh, N.C.",2023-04-4 9:00:00,2023-04-4 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
286,Baseball UofSC vs. North Carolina,"Charlotte, N.C. (Truist Field)",2023-04-4 19:00:00,2023-04-4 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
287,Softball UofSC vs. Alabama,"Tuscaloosa, Ala.",2023-04-6 19:00:00,2023-04-6 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
288,Baseball UofSC vs. LSU,"Columbia, S.C.",2023-04-6 19:00:00,2023-04-6 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
289,Softball UofSC vs. Alabama,"Tuscaloosa, Ala.",2023-04-7 19:00:00,2023-04-7 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
290,Men's Golf UofSC vs. Augusta Haskins Award Inv. R3,"Forest Hills Golf Club - Augusta, Ga.",2023-04-2 9:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
291,Women's Volleyball UofSC vs. Clemson,,2023-04-2 00:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
292,Women's Tennis UofSC vs. Missouri,"Columbia, SC",2023-04-2 11:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
293,Softball UofSC vs. Florida,"Columbia, S.C.",2023-04-2 13:00:00,2023-04-2 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
294,Women's Golf UofSC vs. TBD,"Lonnie Poole Golf Course - Raleigh, N.C. ",2023-04-3 9:00:00,2023-04-3 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
295,Women's Golf UofSC vs. TBD,"Lonnie Poole Golf Course - Raleigh, N.C.",2023-04-4 9:00:00,2023-04-4 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
296,Baseball UofSC vs. North Carolina,"Charlotte, N.C. (Truist Field)",2023-04-4 19:00:00,2023-04-4 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
297,Softball UofSC vs. Alabama,"Tuscaloosa, Ala.",2023-04-6 19:00:00,2023-04-6 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
298,Baseball UofSC vs. LSU,"Columbia, S.C.",2023-04-6 19:00:00,2023-04-6 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
299,Softball UofSC vs. Alabama,"Tuscaloosa, Ala.",2023-04-7 19:00:00,2023-04-7 00:00:00,Athletic Event,https://gamecocksonline.com/all-sports-schedule/
